的	26552181
一	9710730
是	7692455
人	6874478
有	6398153
不	6295509
在	5992246
中	5520669
学	5287469
了	5266496
大	5228011
为	4201549
生	4133311
我	4118864
年	4088259
国	3923377
上	3893131
会	3892040
和	3846710
个	3838705
时	3648054
家	3465565
以	3460446
要	3406755
这	3381768
作	3276872
们	3233065
业	3187209
到	3052762
地	2998525
来	2996699
子	2993594
自	2811665
成	2731279
行	2699008
动	2673671
发	2643438
出	2590120
能	2563594
可	2554436
就	2499950
多	2471653
小	2433011
公	2336652
文	2325426
对	2316565
日	2313537
工	2283492
心	2270337
你	2270047
用	2236062
下	2186130
天	2177091
方	2170432
市	2164279
分	2137253
于	2131597
后	2111128
他	2088929
高	2047446
理	2033102
长	2030309
好	2027032
月	2024147
现	2000485
教	1998745
开	1990090
术	1960670
也	1953326
新	1950852
美	1937186
全	1934249
名	1933182
体	1929115
等	1928541
过	1925440
品	1893762
与	1875831
区	1855784
点	1848897
力	1828520
都	1823408
化	1814474
面	1804706
之	1801323
经	1791472
活	1781980
间	1738993
最	1727211
得	1717579
进	1713732
实	1700426
展	1688496
关	1686484
如	1653202
本	1641041
同	1640781
主	1634167
法	1602696
合	1582704
事	1559713
信	1543177
定	1530969
师	1520591
部	1506404
说	1498857
而	1495807
孩	1489646
加	1474723
者	1461217
里	1460810
前	1438231
艺	1429667
所	1419871
场	1419179
书	1415661
山	1406869
员	1403145
通	1401846
看	1399121
三	1392328
重	1390555
画	1381278
考	1375891
院	1375376
还	1363813
位	1362316
道	1359103
内	1353965
意	1330563
着	1324689
老	1311019
路	1309807
电	1308307
情	1297494
水	1287396
机	1275161
建	1271181
其	1268119
起	1266990
民	1266768
提	1258291
车	1258036
元	1254609
及	1244362
务	1243833
海	1240248
校	1233670
当	1227514
第	1217808
入	1211103
报	1209398
平	1204810
产	1202473
西	1191836
明	1182274
二	1175389
专	1173852
游	1173055
种	1172758
程	1171977
么	1169365
更	1168904
设	1163454
安	1158714
期	1157217
次	1154321
南	1154136
将	1141759
资	1138230
想	1136909
性	1133315
育	1128437
去	1126209
很	1125899
然	1125137
目	1115632
物	1107248
从	1106325
手	1100876
外	1091741
创	1087342
表	1085980
特	1085750
系	1085072
己	1080122
无	1069030
城	1064070
相	1063008
度	1058798
金	1055734
让	1052833
做	1051060
乐	1049921
代	1049270
式	1040132
东	1038078
没	1034046
号	1032588
保	1029986
感	1025226
身	1018030
北	1007602
题	1005327
果	1004363
网	993085
因	991558
各	987638
样	987288
计	977149
正	974937
或	972273
儿	970117
制	966241
注	963126
费	962711
习	959186
那	951899
知	948810
交	947948
比	942158
每	930568
科	929176
风	925674
并	922560
门	919749
些	918067
社	918037
话	915431
服	914258
联	912621
原	906781
参	899652
色	892494
广	890105
常	885939
应	881851
爱	876347
传	875826
微	862030
此	858565
但	857377
级	847507
解	845808
只	844590
省	844291
花	841840
台	841212
管	841102
商	836897
任	834283
给	833500
单	830105
数	828784
别	828358
精	826863
十	826770
司	826171
团	824364
导	820245
园	818755
少	818291
女	804051
政	804012
问	801482
组	801280
受	794781
世	793528
量	792769
四	791482
格	790659
价	790634
办	788664
节	786503
州	786216
由	783907
请	783157
五	780587
基	774968
线	772267
向	768844
选	768185
试	768026
两	760249
总	760227
景	759391
观	759225
影	758933
被	757911
万	756489
强	755103
记	751525
结	748569
舞	747241
课	741444
项	741300
流	740469
求	736713
接	736288
持	734937
利	733642
带	733376
先	732971
真	728975
友	728137
至	725772
口	725480
回	722524
气	721543
优	721174
立	720782
青	720288
技	719997
江	710021
华	709175
处	707625
已	706989
放	702448
件	700637
规	693470
界	687651
把	687570
统	685383
具	682538
证	681682
需	680003
收	675848
旅	672966
视	671697
赛	671499
打	668270
质	667164
才	666124
光	662430
周	660261
造	656154
店	655218
达	652423
取	641969
推	637010
集	634522
快	634153
形	633085
清	629579
医	627800
运	625576
使	622460
完	622047
认	620315
共	619638
头	618168
神	617347
标	615679
息	615262
领	613992
客	612956
读	609800
深	609237
类	607636
演	605903
变	603643
容	603575
奖	602781
图	602332
张	600400
源	600192
众	599883
委	599693
京	597183
什	597070
招	596812
房	596720
识	595140
直	595058
调	593043
古	591898
她	591593
准	587355
研	585548
营	584192
限	578045
养	572362
示	572119
今	571934
阳	571571
班	571341
队	570024
历	558238
指	556941
再	552256
走	551693
语	550613
协	544533
步	544247
改	541543
音	541097
思	540708
见	539960
宝	538847
整	538782
验	538256
企	537010
白	536637
村	536090
际	534386
县	531417
近	531249
又	527928
始	527912
条	527816
据	527146
热	522778
包	522498
职	520623
馆	518413
亲	517962
培	517485
林	515658
获	515120
空	513975
住	511742
何	509623
户	508043
环	507960
投	507195
字	507131
转	501155
满	495798
河	494428
欢	493673
布	492881
非	492794
王	490810
春	489883
备	488698
增	485553
复	485316
妈	485159
酒	484901
即	483530
吃	482530
餐	481635
您	480749
型	480202
往	480124
觉	478324
照	477070
助	477035
支	476937
片	476716
论	476340
维	475853
象	475507
候	473209
享	472582
写	472578
训	471805
几	466335
马	465542
按	464110
站	462286
首	462091
供	461980
功	461698
越	461624
食	459700
红	458082
局	457649
确	457344
治	457344
太	455162
讲	453783
消	453633
责	452602
岁	447993
查	447423
境	445504
石	443691
究	443174
朋	442856
效	442727
彩	442039
米	439056
值	438406
告	437099
约	436916
百	436559
装	436277
它	434843
福	434590
湖	432837
排	432162
划	432011
农	431835
童	431146
态	430947
编	427436
难	426342
该	426341
票	425273
早	424800
边	423163
党	422332
喜	422320
评	421384
士	418753
望	418452
干	417550
群	417319
德	416918
志	413089
范	412498
称	411618
积	411386
构	411131
送	410804
段	410596
义	409622
极	409439
权	408550
决	407819
必	406825
健	406807
未	406575
龙	406553
则	404856
免	403359
族	402216
楼	401516
母	399153
黄	393347
言	393184
素	392606
像	392098
议	390024
晚	389355
室	387769
料	386527
练	385677
博	383177
根	382825
引	379911
击	379718
星	379060
战	378765
远	376423
易	375226
较	374115
随	373504
购	371202
速	371138
声	370528
案	369785
济	367180
模	366975
富	366718
云	364973
念	363603
康	363532
致	362655
份	362178
拉	362077
镇	361699
火	361363
续	361132
超	361049
史	360929
护	359993
施	358775
尔	354197
男	352569
命	352146
英	351806
便	351506
兴	351053
街	350977
销	350514
落	350377
反	349682
况	348670
六	347774
李	347506
许	347451
听	347162
互	346453
香	346124
秀	346124
险	345966
故	345949
愿	345804
笔	345776
眼	345463
足	344409
举	344241
吧	343495
仅	341926
独	341736
球	341506
聘	341476
温	341266
址	339868
织	339695
军	339491
简	338233
升	336951
藏	336894
阅	336230
午	335828
录	335212
假	334995
初	334872
病	333867
味	333437
乡	332427
买	331966
承	330093
低	329751
斯	327247
适	325685
连	324953
益	323559
钱	323389
拍	323210
牌	322376
纪	322375
且	320173
油	320047
待	319754
留	319727
居	315850
父	314947
善	312008
细	311605
丽	310321
找	309987
版	309706
层	309627
双	309482
离	309241
届	307501
响	306246
千	306152
材	305822
列	305439
存	305383
修	305331
坚	303164
终	302586
融	302131
配	300149
剧	299261
玩	298640
角	298166
底	295557
采	294837
除	294675
含	294456
择	294391
充	294368
副	293877
失	292754
码	292645
府	292573
切	292520
断	292459
轻	292232
策	290400
克	289857
预	289594
负	286738
却	286326
围	286289
蹈	286176
依	284970
器	284552
八	283685
座	282611
银	280561
土	279515
均	278535
宁	278376
普	277722
绩	277249
严	277054
属	276459
览	275768
款	275497
防	275436
介	275337
尽	274494
够	273752
置	273690
茶	273182
礼	273106
堂	273030
势	272616
卡	272081
帮	270996
梦	270797
歌	270520
询	269116
怎	268738
亚	267915
武	267517
章	266893
售	265877
律	265755
官	264349
木	263938
核	262455
财	262158
须	261367
呢	260850
曾	260312
域	260219
飞	259964
庭	257836
印	257019
毕	256884
跟	255705
检	255346
丰	253926
算	253834
智	253310
摄	252672
陈	252557
钟	252193
显	251786
右	251533
庆	250311
半	250202
迎	249089
草	248673
奇	248628
遇	248036
吗	247595
播	247330
审	246216
汉	246041
刻	246019
希	245998
巴	245629
沙	245478
批	244058
良	243417
临	243044
贵	242943
错	242912
余	242354
树	241255
菜	240799
例	239279
苏	238165
季	234502
宣	233536
戏	233204
谢	232463
络	232120
绘	231800
率	228769
争	227575
灵	227045
幼	226309
监	225879
夏	225414
惠	225177
左	224092
补	223002
趣	222982
激	222960
疗	222789
筑	222256
诗	221841
典	221501
革	221050
媒	221001
状	220632
止	220237
哪	220093
岛	219435
曲	219043
雨	218666
绝	218415
绿	218368
静	218293
岗	218176
担	217932
七	217613
松	217476
警	217020
药	216893
川	216196
刘	216021
套	215679
九	215378
佛	215066
础	214711
黑	214232
板	213681
劳	213183
察	211185
厅	211003
紧	210969
授	208200
央	207972
兰	206998
玉	206472
血	206463
伴	206253
登	205151
永	204564
田	204046
铁	202572
肉	201886
咨	201874
另	201726
桥	201176
般	200691
某	200378
顺	200242
索	200225
